Player,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Tom Brady,205833,310833,1087834,3318750,5058750,8423750,13823750,7340000,14620000,14620000,17420000,13200000,8000000,13800000,14800000,14000000,13764706,14000000,22000000,21500000,25000000
Drew Brees,627500.0,707500.0,2287500.0,2367500.0,8078000.0,6000000.0,7000000.0,9000000.0,10660400.0,12358400.0,14981200.0,10400000.0,17400000.0,18400000.0,23800000.0,17250000.0,19000000.0,24000000.0,22700000.0,23650000.0,
Ben Roethlisberger,1502000.0,4220250.0,4545750.0,3127000.0,7970000.0,13220000.0,10355882.0,11320000.0,8895000.0,13595000.0,18895000.0,17245000.0,23950000.0,18200000.0,23200000.0,26200000.0,23750000.0,,,,
Philip Rivers,2580000.0,4855000.0,5165000.0,10775000.0,7625000.0,11535000.0,11710000.0,13510000.0,15310000.0,13776666.0,16666666.0,21166668.0,16500000.0,18000000.0,22000000.0,23000000.0,25000000.0,,,,
Eli Manning,2244000.0,4527926.0,7388074.0,10046666.0,12916666.0,13066668.0,12100000.0,14100000.0,9600000.0,20850000.0,20400000.0,14450000.0,24200000.0,19700000.0,22200000.0,23200000.0,,,,,
Matt Ryan,6600000.0,9900000.0,12250000.0,13250000.0,13500000.0,9600000.0,17500000.0,19500000.0,23750000.0,23750000.0,17700000.0,15800000.0,18962500.0,,,,,,,,
Aaron Rodgers,1150000.0,1402500.0,1557500.0,13952500.0,9652500.0,6500000.0,7750000.0,8500000.0,12000000.0,17550000.0,18250000.0,19250000.0,20300000.0,20900000.0,29352000.0,21642000.0,,,,,
Mathew Stafford,3100000.0,12980000.0,6123750.0,8935000.0,17820000.0,15820000.0,17721250.0,22500000.0,16500000.0,26500000.0,30700000.0,21300000.0,,,,,,,,,
Carson Palmer,2500000.0,5477242.0,8982758.0,12980000.0,13480000.0,13980001.0,14300000.0,12300000.0,2500000.0,3160000.0,4000000.0,13000000.0,7375000.0,18375000.0,24125000.0,,,,,,
Joe Flacco,1300000.0,4875000.0,3900000.0,5725000.0,8000000.0,6800000.0,14800000.0,14550000.0,22550000.0,24550000.0,24750000.0,4900000.0,1562500.0,,,,,,,,
Alex Smith,2700000.0,2910000.0,3535000.0,9916262.0,5666666.0,7166668.0,4900000.0,9250000.0,8500000.0,4600000.0,15600000.0,17800000.0,16900000.0,18400000.0,20100000.0,20300000.0,,,,,
Ryan Fitzpatrick,239416.0,359416.0,435000.0,927000.0,2210000.0,3405000.0,5610000.0,6000000.0,2375000.0,3375000.0,3250000.0,7000000.0,3675000.0,3300000.0,5500000.0,8000000.0,,,,,
Matt Schaub,378333.0,453333.0,573334.0,4250000.0,5750000.0,10250000.0,7800000.0,9000000.0,11700000.0,10750000.0,8000000.0,2000000.0,1750000.0,3500000.0,4500000.0,1405000.0,2375000.0,,,,
Jay Cutler,1550000.0,1937500.0,2325000.0,11534999.0,8900000.0,9500000.0,9600000.0,10370000.0,18500000.0,16500000.0,17000000.0,10000000.0,,,,,,,,,
Michael Vick,2500000.0,2542857.0,5142857.0,7892857.0,7992857.0,13072857.0,7572857.0,7572858.0,2375000.0,6400000.0,14400000.0,13900000.0,12200000.0,4000000.0,585000.0,,,,,,
Derek Carr,976691.0,1220864.0,1465037.0,15731691.0,25000000.0,22500000.0,21500000.0,,,,,,,,,,,,,,
Brad Smith,,,,,,,,,,,,,,,,,,,,,
Matt Cassel,243500.0,363500.0,448500.0,533500.0,15200000.0,12200000.0,7075000.0,7575000.0,3700000.0,5750000.0,1764706.0,2000000.0,2750000.0,720000.0,,,,,,,
Josh McCown,386000.0,461000.0,541000.0,1430000.0,3000000.0,2000000.0,1950000.0,1750000.0,185294.0,222353.0,580000.0,4750000.0,3916666.0,5041666.0,6500000.0,10000000.0,2450000.0,526471.0,,,
Marc Bulger,303000.0,375000.0,9455000.0,545000.0,5123000.0,20550000.0,6500000.0,8500000.0,3800000.0,,,,,,,,,,,,
David Carr,2600000.0,6397061.0,4948773.0,9804166.0,8250000.0,2600000.0,1000000.0,2100000.0,3875000.0,575000.0,605000.0,,,,,,,,,,
Jason Campbell,1078000.0,1380500.0,1603000.0,2265500.0,3888000.0,3243250.0,4500000.0,3750000.0,1500000.0,1500000.0,,,,,,,,,,,
Chad Pennington,1122477.0,1122477.0,1304477.0,6898467.0,5069431.0,6000000.0,12000000.0,7000000.0,4000000.0,5750000.0,2700000.0,,,,,,,,,,
Kyle Orton,344500.0,464500.0,549500.0,2214500.0,1845000.0,2621000.0,2604353.0,1900000.0,1967500.0,4000000.0,,,,,,,,,,,
Andrew Luck,4019636.0,5024545.0,6029454.0,7034363.0,18400000.0,19400000.0,24400000.0,,,,,,,,,,,,,,
David Garrard,300000.0,380000.0,455000.0,1000000.0,1100000.0,9000000.0,5500000.0,8000000.0,1100000.0,1100000.0,100000.0,,,,,,,,,,
Sam Bradford,3200000.0,12465000.0,15595000.0,12595000.0,17610000.0,12985000.0,7000000.0,18000000.0,,,,,,,,,,,,,
Jameis Winston,4609323.0,5761654.0,6913985.0,7941903.0,20922000.0,1100000.0,2500000.0,,,,,,,,,,,,,,
Joey Harrington,6925000.0,1775000.0,8000000.0,3000000.0,3500000.0,645000.0,50000.0,,,,,,,,,,,,,,
Mark Sanchez,2545000.0,5942500.0,12837500.0,3250000.0,8250000.0,750000.0,2500000.0,0.0,250000.0,0.0,,,,,,,,,,,
Blake Bortles,3755418.0,4694273.0,5633128.0,6571983.0,10000000.0,1000000.0,44118.0,,,,,,,,,,,,,,
