season_year,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,QBR
2000,CLE,22,QB,7,1,0-1-0,22,54,40.7,167,0,0.0,1,1.9,5,32.0,3.1,2.3,7.6,23.9,41.2,13.0,89.0,19.4,1.16,0.49,,,
2000,NYJ,24,QB,1,0,,2,5,40.0,67,1,20.0,0,0.0,2,62.0,13.4,17.4,33.5,67.0,127.1,1.0,4.0,16.7,10.5,13.83,,,
2000,BAL,23,QB,2,0,,2,3,66.7,19,0,0.0,0,0.0,1,12.0,6.3,6.3,9.5,9.5,84.0,0.0,0.0,0.0,6.33,6.33,,,
2000,NWE,23,QB,1,0,,1,3,33.3,6,0,0.0,0,0.0,0,6.0,2.0,2.0,6.0,6.0,42.4,0.0,0.0,0.0,2.0,2.0,,,
2000,SFO,23,QB,1,0,,1,1,100.0,-4,0,0.0,0,0.0,0,-4.0,-4.0,-4.0,-4.0,-4.0,79.2,0.0,0.0,0.0,-4.0,-4.0,,,
2001,CAR,29,QB,15,15,1/14/2000,293,540,54.3,2931,11,2.0,19,3.5,138,48.0,5.4,4.3,10.0,195.4,62.0,26.0,177.0,4.6,4.87,3.74,,,
2001,NWE,24,QB,15,14,11/3/2000,264,413,63.9,2843,18,4.4,12,2.9,145,91.0,6.9,6.4,10.8,189.5,86.5,41.0,216.0,9.0,5.79,5.39,3.0,3.0,
2001,DAL,24,QB,8,8,3/5/2000,90,176,51.1,1072,5,2.8,7,4.0,46,64.0,6.1,4.9,11.9,134.0,63.0,12.0,56.0,6.4,5.4,4.26,0.0,2.0,
2001,ATL,21,QB,8,2,1/1/2000,50,113,44.2,785,2,1.8,3,2.7,34,52.0,6.9,6.1,15.7,98.1,62.7,21.0,113.0,15.7,5.01,4.31,,,
2001,DET,22,QB,8,3,1/2/2000,53,115,46.1,671,3,2.6,1,0.9,33,69.0,5.8,6.0,12.7,83.9,69.9,21.0,122.0,15.4,4.04,4.15,1.0,1.0,
2001,MIN,23,QB,3,2,0-2-0,48,98,49.0,418,1,1.0,6,6.1,20,47.0,4.3,1.7,8.7,139.3,38.6,10.0,65.0,9.3,3.27,0.95,,,
2001,SDG,22,QB,1,0,,15,27,55.6,221,1,3.7,0,0.0,11,40.0,8.2,8.9,14.7,221.0,94.8,2.0,12.0,6.9,7.21,7.9,,,
2001,PHI,24,QB,1,0,,10,14,71.4,143,2,14.3,1,7.1,8,27.0,10.2,9.9,14.3,143.0,114.0,0.0,0.0,0.0,10.21,9.86,1.0,1.0,
2001,NYJ,25,QB,2,0,,10,20,50.0,92,1,5.0,0,0.0,5,24.0,4.6,5.6,9.2,46.0,79.6,1.0,8.0,4.8,4.0,4.95,,,
2001,OAK,22,QB,1,0,,3,4,75.0,34,0,0.0,0,0.0,1,15.0,8.5,8.5,11.3,34.0,100.0,0.0,0.0,0.0,8.5,8.5,,,
2001,SFO,24,QB,3,0,,2,2,100.0,21,0,0.0,0,0.0,1,20.0,10.5,10.5,10.5,7.0,110.4,0.0,0.0,0.0,10.5,10.5,,,
2002,NWE,25,QB,16,16,9/7/2000,373,601,62.1,3764,28,4.7,14,2.3,185,49.0,6.3,6.1,10.1,235.3,85.7,31.0,190.0,4.9,5.66,5.54,2.0,3.0,
2002,SDG,23,QB,16,16,8/8/2000,320,526,60.8,3284,17,3.2,16,3.0,164,52.0,6.2,5.5,10.3,205.3,76.9,24.0,180.0,4.4,5.64,4.95,2.0,4.0,
2002,NYJ,26,QB,15,12,8/4/2000,275,399,68.9,3120,22,5.5,6,1.5,168,47.0,7.8,8.2,11.3,208.0,104.2,22.0,135.0,5.2,7.09,7.49,1.0,2.0,
2002,ATL,22,QB,15,15,8/6/2001,231,421,54.9,2936,16,3.8,8,1.9,140,74.0,7.0,6.9,12.7,195.7,81.6,33.0,206.0,7.3,6.01,5.93,2.0,2.0,
2002,HOU,23,QB,16,16,4/12/2000,233,444,52.5,2592,9,2.0,15,3.4,118,81.0,5.8,4.7,11.1,162.0,62.8,76.0,411.0,14.6,4.19,3.24,2.0,3.0,
2002,DET,24,QB,14,12,3/9/2000,215,429,50.1,2294,12,2.8,16,3.7,111,64.0,5.3,4.2,10.7,163.9,59.9,8.0,75.0,1.8,5.08,3.98,2.0,2.0,
2002,STL,25,QB,7,7,6/1/2000,138,214,64.5,1826,14,6.5,6,2.8,87,58.0,8.5,8.6,13.2,260.9,101.5,12.0,102.0,5.3,7.63,7.67,2.0,2.0,
2002,WAS,23,QB,9,5,2/3/2000,117,227,51.5,1539,9,4.0,8,3.5,67,62.0,6.8,6.0,13.2,171.0,71.8,18.0,132.0,7.3,5.74,5.01,,,
2002,DAL,25,QB,7,7,3/4/2000,125,221,56.6,1465,7,3.2,8,3.6,67,80.0,6.6,5.6,11.7,209.3,72.3,19.0,130.0,7.9,5.56,4.65,2.0,2.0,
2002,BAL,25,QB,6,6,3/3/2000,97,182,53.3,1034,7,3.8,3,1.6,49,36.0,5.7,5.7,10.7,172.3,76.1,11.0,68.0,5.7,5.01,5.03,,,
2002,PHI,25,QB,6,5,4/1/2000,86,154,55.8,1011,6,3.9,5,3.2,43,53.0,6.6,5.9,11.8,168.5,75.4,7.0,48.0,4.3,5.98,5.33,,,
2002,DET,23,QB,8,4,0-4-0,62,147,42.2,874,7,4.8,9,6.1,40,49.0,5.9,4.1,14.1,109.3,52.4,12.0,99.0,7.5,4.87,3.21,,,
2002,SFO,25,QB,4,0,,26,43,60.5,232,2,4.7,0,0.0,11,27.0,5.4,6.3,8.9,58.0,90.5,5.0,26.0,10.4,4.29,5.13,,,
2002,JAX,24,QB,4,1,0-1-0,23,46,50.0,231,1,2.2,2,4.3,16,22.0,5.0,3.5,10.0,57.8,53.8,7.0,40.0,13.2,3.6,2.28,,,
