Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Matt Schaub*,HOU,28,QB,16,16,9/7/2000,396,583,67.9,4770,29,5,15,2.6,231,72,8.2,8,12,298.1,98.6,72.9,25,149,4.1,7.6,7.44,2,4
2,Peyton Manning*+,IND,33,QB,16,16,14-2-0,393,571,68.8,4500,33,5.8,16,2.8,241,80,7.9,7.8,11.5,281.3,99.9,80.7,10,74,1.7,7.62,7.51,7,7
3,Tony Romo*,DAL,29,QB,16,16,11/5/2000,347,550,63.1,4483,26,4.7,9,1.6,203,80,8.2,8.4,12.9,280.2,97.6,65.5,34,196,5.8,7.34,7.54,3,3
4,Aaron Rodgers*,GNB,26,QB,16,16,11/5/2000,350,541,64.7,4434,30,5.5,7,1.3,198,83,8.2,8.7,12.7,277.1,103.2,69.1,50,306,8.5,6.98,7.47,2,2
5,Tom Brady*,NWE,32,QB,16,16,10/6/2000,371,565,65.7,4398,28,5,13,2.3,215,81,7.8,7.7,11.9,274.9,96.2,74.1,16,86,2.8,7.42,7.38,1,1
6,Drew Brees*,NOR,30,QB,15,15,13-2-0,363,514,70.6,4388,34,6.6,11,2.1,210,75,8.5,8.9,12.1,292.5,109.6,82,20,135,3.7,7.96,8.31,2,4
7,Ben Roethlisberger,PIT,27,QB,15,15,9/6/2000,337,506,66.6,4328,26,5.1,12,2.4,201,60,8.6,8.5,12.8,288.5,100.5,69,50,348,9,7.16,7.12,2,3
8,Philip Rivers*,SDG,28,QB,16,16,13-3-0,317,486,65.2,4254,28,5.8,9,1.9,208,81,8.8,9.1,13.4,265.9,104.4,77.2,25,167,4.9,8,8.3,2,4
9,Brett Favre*,MIN,40,QB,16,16,12/4/2000,363,531,68.4,4202,33,6.2,7,1.3,214,63,7.9,8.6,11.6,262.6,107.2,74.4,34,247,6,7,7.61,2,2
10,Eli Manning,NYG,28,QB,16,16,8/8/2000,317,509,62.3,4021,27,5.3,14,2.8,183,74,7.9,7.7,12.7,251.3,93.1,71.7,30,216,5.6,7.06,6.89,1,2
11,Kyle Orton,DEN,27,QB,16,15,8/7/2000,336,541,62.1,3802,21,3.9,12,2.2,175,87,7,6.8,11.3,237.6,86.8,56.9,29,159,5.1,6.39,6.18,3,3
12,Kurt Warner,ARI,38,QB,15,15,10/5/2000,339,513,66.1,3753,26,5.1,14,2.7,192,45,7.3,7.1,11.1,250.2,93.2,66.2,24,172,4.5,6.67,6.46,1,2
13,Jay Cutler,CHI,26,QB,16,16,7/9/2000,336,555,60.5,3666,27,4.9,26,4.7,169,71,6.6,5.5,10.9,229.1,76.8,49.9,35,204,5.9,5.87,4.8,2,4
14,Jason Campbell,WAS,28,QB,16,16,4/12/2000,327,507,64.5,3618,20,3.9,15,3,187,84,7.1,6.6,11.1,226.1,86.4,55.2,43,285,7.8,6.06,5.56,1,1
15,Joe Flacco,BAL,24,QB,16,16,9/7/2000,315,499,63.1,3613,21,4.2,12,2.4,184,72,7.2,7,11.5,225.8,88.9,58.5,36,218,6.7,6.35,6.12,1,2
16,David Garrard*,JAX,31,QB,16,16,7/9/2000,314,516,60.9,3597,15,2.9,10,1.9,169,63,7,6.7,11.5,224.8,83.5,54.4,42,236,7.5,6.02,5.75,3,4
17,Donovan McNabb*,PHI,33,QB,14,14,10/4/2000,267,443,60.3,3553,22,5,10,2.3,141,60,8,8,13.3,253.8,92.9,58.2,35,264,7.3,6.88,6.86,2,3
18,Carson Palmer,CIN,30,QB,16,16,10/6/2000,282,466,60.5,3094,21,4.5,13,2.8,159,73,6.6,6.3,11,193.4,83.6,58.6,26,213,5.3,5.86,5.52,3,5
19,Matt Hasselbeck,SEA,34,QB,14,14,5/9/2000,293,488,60,3029,17,3.5,17,3.5,148,53,6.2,5.3,10.3,216.4,75.1,34,32,209,6.2,5.42,4.61,0,1
20,Matt Cassel,KAN,27,QB,15,15,4/11/2000,271,493,55,2924,16,3.2,16,3.2,129,61,5.9,5.1,10.8,194.9,69.9,29.7,42,243,7.9,5.01,4.26,1,2
21,Matt Ryan,ATL,24,QB,14,14,9/5/2000,263,451,58.3,2916,22,4.9,14,3.1,153,90,6.5,6,11.1,208.3,80.9,67.7,19,92,4,6.01,5.6,1,3
22,Chad Henne,MIA,24,QB,14,13,7/6/2000,274,451,60.8,2878,12,2.7,14,3.1,156,67,6.4,5.5,10.5,205.6,75.2,53.1,26,176,5.5,5.66,4.85,3,3
23,Mark Sanchez,NYJ,23,QB,15,15,8/7/2000,196,364,53.8,2444,12,3.3,20,5.5,122,65,6.7,4.9,12.5,162.9,63,32.8,26,195,6.7,5.77,4.07,,
24,Alex Smith,SFO,25,QB,11,10,5/5/2000,225,372,60.5,2350,18,4.8,12,3.2,100,73,6.3,5.8,10.4,213.6,81.5,41.8,22,134,5.6,5.62,5.17,,
25,Matthew Stafford,DET,21,QB,10,10,2/8/2000,201,377,53.3,2267,13,3.4,20,5.3,111,75,6,4.3,11.3,226.7,61,37.1,24,169,6,5.23,3.64,1,1
26,Jake Delhomme,CAR,34,QB,11,11,4/7/2000,178,321,55.5,2015,8,2.5,18,5.6,101,52,6.3,4.3,11.3,183.2,59.4,37.3,23,187,6.7,5.31,3.42,1,2
27,Vince Young*,TEN,26,QB,12,10,8/2/2000,152,259,58.7,1879,10,3.9,7,2.7,91,66,7.3,6.8,12.4,156.6,82.8,69.6,9,36,3.4,6.88,6.45,3,6
28,Josh Freeman,TAM,21,QB,10,9,3/6/2000,158,290,54.5,1855,10,3.4,18,6.2,90,42,6.4,4.3,11.7,185.5,59.8,37,20,102,6.5,5.65,3.69,2,2
29,Marc Bulger,STL,32,QB,9,8,1/7/2000,140,247,56.7,1469,5,2,6,2.4,77,50,5.9,5.3,10.5,163.2,70.7,30.7,14,85,5.4,5.3,4.65,0,1
30,Ryan Fitzpatrick,BUF,27,QB,10,8,4/4/2000,127,227,55.9,1422,9,4,10,4.4,65,98,6.3,5.1,11.2,142.2,69.7,35.2,21,127,8.5,5.22,4.13,1,2
31,Brady Quinn,CLE,25,QB,10,9,2/7/2000,136,256,53.1,1339,8,3.1,7,2.7,72,59,5.2,4.6,9.8,133.9,67.2,41.7,19,104,6.9,4.49,3.93,0,1
32,JaMarcus Russell,OAK,24,QB,12,9,2/7/2000,120,246,48.8,1287,3,1.2,11,4.5,58,86,5.2,3.5,10.7,107.3,50,20.7,33,207,11.8,3.87,2.31,2,2
33,Kerry Collins,TEN,37,qb,7,6,0-6-0,119,216,55.1,1225,6,2.8,8,3.7,63,69,5.7,4.6,10.3,175,65.5,37.6,6,37,2.7,5.35,4.27,,
34,Trent Edwards,BUF,26,qb,8,7,2/5/2000,110,183,60.1,1169,6,3.3,7,3.8,54,46,6.4,5.3,10.6,146.1,73.8,29.1,23,139,11.2,5,4.05,,
35,Matt Moore,CAR,25,qb,7,5,4/1/2000,85,138,61.6,1053,8,5.8,2,1.4,52,66,7.6,8.1,12.4,150.4,98.5,64.6,9,78,6.1,6.63,7.11,1,1
36,Bruce Gradkowski,OAK,26,qb,7,4,2/2/2000,82,150,54.7,1007,6,4,3,2,44,75,6.7,6.6,12.3,143.9,80.6,58.3,11,71,6.8,5.81,5.72,2,2
37,Daunte Culpepper,DET,32,qb,8,5,0-5-0,89,157,56.7,945,3,1.9,6,3.8,44,38,6,4.7,10.6,118.1,64.8,35.9,14,107,8.2,4.9,3.67,,
38,Shaun Hill,SFO,29,qb,6,6,3/3/2000,87,155,56.1,943,5,3.2,2,1.3,33,61,6.1,6.1,10.8,157.2,79.6,35.9,18,107,10.4,4.83,4.89,1,1
39,Kyle Boller,STL,28,qb,7,4,0-4-0,98,176,55.7,899,3,1.7,6,3.4,42,35,5.1,3.9,9.2,128.4,61.2,23.2,17,117,8.8,4.05,2.96,,
40,Derek Anderson,CLE,26,qb,8,7,3/4/2000,81,182,44.5,888,3,1.6,10,5.5,44,43,4.9,2.7,11,111,42.1,22.4,11,75,5.7,4.21,2.19,0,1
41,Chris Redman,ATL,32,qb,6,2,0-2-0,69,119,58,781,4,3.4,3,2.5,41,50,6.6,6.1,11.3,130.2,78.4,64.6,8,34,6.3,5.88,5.45,1,1
42,Kevin Kolb,PHI,25,qb,5,2,1/1/2000,62,96,64.6,741,4,4.2,3,3.1,31,71,7.7,7.1,12,148.2,88.9,62.2,3,27,3,7.21,6.66,,
43,Seneca Wallace,SEA,29,qb,13,2,0-2-0,78,120,65,700,3,2.5,2,1.7,36,39,5.8,5.6,9,53.8,81.9,44.7,9,59,7,4.97,4.74,,
44,Josh Johnson,TAM,23,qb,6,4,0-4-0,63,125,50.4,685,4,3.2,8,6.4,31,35,5.5,3.2,10.9,114.2,50.9,37.6,11,59,8.1,4.6,2.54,,
