Player,Rnd,Pick,DrAge,Tm,College/Univ
A.J. Feeley,5,155,24,PHI,Oregon
A.J. McCarron,5,164,23,CIN,Alabama
Aaron Rodgers,1,24,21,GNB,California
Alex Smith,1,1,21,SFO,Utah
Andrew Luck,1,1,22,IND,Stanford
Andrew Walter,3,69,23,OAK,Arizona St.
Ben Roethlisberger,1,11,22,PIT,Miami (OH)
Blake Bortles,1,3,22,JAX,Central Florida
Brad Smith,4,103,22,NYJ,Missouri
Brady Quinn,1,22,22,CLE,Notre Dame
Brandon Weeden,1,22,28,CLE,Oklahoma St.
Brett Hundley,5,147,22,GNB,UCLA
Brodie Croyle,3,85,23,KAN,Alabama
Brooks Bollinger,6,200,23,NYJ,Wisconsin
Bruce Gradkowski,6,194,23,TAM,Toledo
Bryce Petty,4,103,24,NYJ,Baylor
Byron Leftwich,1,7,23,JAX,Marshall
Carson Palmer,1,1,23,CIN,USC
Chad Henne,2,57,23,MIA,Michigan
Chad Pennington,1,18,24,NYJ,Marshall
Charlie Frye,3,67,24,CLE,Akron
Charlie Whitehurst,3,81,24,SDG,Clemson
Chris Redman,3,75,23,BAL,Louisville
Chris Simms,3,97,23,TAM,Texas
Chris Weinke,4,106,29,CAR,Florida St.
Christian Ponder,1,12,23,MIN,Florida St.
Colt McCoy,3,85,24,CLE,Texas
Curtis Painter,6,201,24,IND,Purdue
Dan Orlovsky,5,145,22,DET,Connecticut
David Carr,1,1,23,HOU,Fresno St.
David Garrard,4,108,24,JAX,East Carolina
Derek Anderson,6,213,22,BAL,Oregon St.
Derek Carr,2,36,23,OAK,Fresno St.
Drew Brees,2,32,22,SDG,Purdue
Drew Henson,6,192,23,HOU,Michigan
Drew Stanton,2,43,23,DET,Michigan St.
Eli Manning,1,1,23,SDG,Mississippi
Geno Smith,2,39,22,NYJ,West Virginia
Isaiah Stanback,4,103,23,DAL,Washington
J.P. Losman,1,22,23,BUF,Tulane
J.T. O'Sullivan,6,186,23,NOR,UC Davis
JaMarcus Russell,1,1,22,OAK,LSU
Jameis Winston,1,1,21,TAM,Florida St.
Jason Campbell,1,25,23,WAS,Auburn
Jay Cutler,1,11,23,DEN,Vanderbilt
Jim Sorgi,6,193,23,IND,Wisconsin
Jimmy Clausen,2,48,22,CAR,Notre Dame
Joe Flacco,1,18,23,BAL,Delaware
Joey Harrington,1,3,23,DET,Oregon
John Beck,2,40,26,MIA,BYU
John Skelton,5,155,22,ARI,Fordham
Johnny Manziel,1,22,21,CLE,Texas A&M
Josh Freeman,1,17,21,TAM,Kansas St.
Josh Johnson,5,160,22,TAM,San Diego
Josh McCown,3,81,23,ARI,Sam Houston St.
Kellen Clemens,2,49,23,NYJ,Oregon
Ken Dorsey,7,241,22,SFO,Miami (FL)
Kevin Kolb,2,36,23,PHI,Houston
Kyle Boller,1,19,22,BAL,California
Kyle Orton,4,106,22,CHI,Purdue
Luke McCown,4,106,23,CLE,Louisiana Tech
Marc Bulger,6,168,23,NOR,West Virginia
Mark Sanchez,1,5,22,NYJ,USC
Marques Tuiasosopo,2,59,22,OAK,Washington
Matt Cassel,7,230,23,NWE,USC
Matt Flynn,7,209,23,GNB,LSU
Matt Leinart,1,10,23,ARI,USC
Matt Ryan,1,3,23,ATL,Boston Col.
Matt Schaub,3,90,23,ATL,Virginia
Matthew Stafford,1,1,21,DET,Georgia
Michael Vick,1,1,21,ATL,Virginia Tech
Mike Glennon,3,73,23,TAM,North Carolina St.
Mike McMahon,5,149,22,DET,Rutgers
Pat White,2,44,23,MIA,West Virginia
Patrick Ramsey,1,32,23,WAS,Tulane
Philip Rivers,1,4,22,NYG,North Carolina St.
Quincy Carter,2,53,23,DAL,Georgia
Rex Grossman,1,22,23,CHI,Florida
Ryan Fitzpatrick,7,250,22,STL,Harvard
Ryan Lindley,6,185,23,ARI,San Diego St.
Ryan Mallett,3,74,23,NWE,Arkansas
Sage Rosenfels,4,109,23,WAS,Iowa St.
Sam Bradford,1,1,22,STL,Oklahoma
Sean Mannion,3,89,23,STL,Oregon St.
Seneca Wallace,4,110,23,SEA,Iowa St.
Spergon Wynn,6,183,22,CLE,Texas St.
T.J. Yates,5,152,24,HOU,North Carolina
Tarvaris Jackson,2,64,23,MIN,Alabama St.
Tim Rattay,7,212,23,SFO,Louisiana Tech
Tim Tebow,1,25,23,DEN,Florida
Tom Brady,6,199,23,NWE,Michigan
Tom Savage,4,135,24,HOU,Pittsburgh
Trent Edwards,3,92,23,BUF,Stanford
Trevor Siemian,7,250,23,DEN,Northwestern
Troy Smith,5,174,23,BAL,Ohio St.
Tyler Thigpen,7,217,23,MIN,Coastal Carolina
Tyrod Taylor,6,180,22,BAL,Virginia Tech
Vince Young,1,3,23,TEN,Texas
Zach Mettenberger,6,178,23,TEN,LSU
