Rnd,Pick,Player,DrAge,Tm,College/Univ
1,18,Chad Pennington,24.0,NYJ,Marshall
3,75,Chris Redman,23.0,BAL,Louisville
6,168,Marc Bulger,23.0,NOR,West Virginia
6,183,Spergon Wynn,22.0,CLE,Texas St.
6,199,Tom Brady,23.0,NWE,Michigan
7,212,Tim Rattay,23.0,SFO,Louisiana Tech
1,1,Michael Vick,21.0,ATL,Virginia Tech
2,32,Drew Brees,22.0,SDG,Purdue
2,53,Quincy Carter,23.0,DAL,Georgia
2,59,Marques Tuiasosopo,22.0,OAK,Washington
4,106,Chris Weinke,29.0,CAR,Florida St.
4,109,Sage Rosenfels,23.0,WAS,Iowa St.
5,149,Mike McMahon,22.0,DET,Rutgers
5,155,A.J. Feeley,24.0,PHI,Oregon
1,1,David Carr,23.0,HOU,Fresno St.
1,3,Joey Harrington,23.0,DET,Oregon
1,32,Patrick Ramsey,23.0,WAS,Tulane
3,81,Josh McCown,23.0,ARI,Sam Houston St.
4,108,David Garrard,24.0,JAX,East Carolina
6,186,J.T. O'Sullivan,23.0,NOR,UC Davis
1,1,Carson Palmer,23.0,CIN,USC
1,7,Byron Leftwich,23.0,JAX,Marshall
1,19,Kyle Boller,22.0,BAL,California
1,22,Rex Grossman,23.0,CHI,Florida
3,97,Chris Simms,23.0,TAM,Texas
4,110,Seneca Wallace,23.0,SEA,Iowa St.
6,192,Drew Henson,23.0,HOU,Michigan
6,200,Brooks Bollinger,23.0,NYJ,Wisconsin
7,241,Ken Dorsey,22.0,SFO,Miami (FL)
1,1,Eli Manning,23.0,SDG,Mississippi
1,4,Philip Rivers,22.0,NYG,North Carolina St.
1,11,Ben Roethlisberger,22.0,PIT,Miami (OH)
1,22,J.P. Losman,23.0,BUF,Tulane
3,90,Matt Schaub,23.0,ATL,Virginia
4,106,Luke McCown,23.0,CLE,Louisiana Tech
6,193,Jim Sorgi,23.0,IND,Wisconsin
1,1,Alex Smith,21.0,SFO,Utah
1,24,Aaron Rodgers,21.0,GNB,California
1,25,Jason Campbell,23.0,WAS,Auburn
3,67,Charlie Frye,24.0,CLE,Akron
3,69,Andrew Walter,23.0,OAK,Arizona St.
4,106,Kyle Orton,22.0,CHI,Purdue
5,145,Dan Orlovsky,22.0,DET,Connecticut
6,213,Derek Anderson,22.0,BAL,Oregon St.
7,230,Matt Cassel,23.0,NWE,USC
7,250,Ryan Fitzpatrick,22.0,STL,Harvard
1,3,Vince Young,23.0,TEN,Texas
1,10,Matt Leinart,23.0,ARI,USC
1,11,Jay Cutler,23.0,DEN,Vanderbilt
2,49,Kellen Clemens,23.0,NYJ,Oregon
2,64,Tarvaris Jackson,23.0,MIN,Alabama St.
3,81,Charlie Whitehurst,24.0,SDG,Clemson
3,85,Brodie Croyle,23.0,KAN,Alabama
4,103,Brad Smith,22.0,NYJ,Missouri
6,194,Bruce Gradkowski,23.0,TAM,Toledo
1,1,JaMarcus Russell,22.0,OAK,LSU
1,22,Brady Quinn,22.0,CLE,Notre Dame
2,36,Kevin Kolb,23.0,PHI,Houston
2,40,John Beck,26.0,MIA,BYU
2,43,Drew Stanton,23.0,DET,Michigan St.
3,92,Trent Edwards,23.0,BUF,Stanford
4,103,Isaiah Stanback,23.0,DAL,Washington
5,174,Troy Smith,23.0,BAL,Ohio St.
7,217,Tyler Thigpen,23.0,MIN,Coastal Carolina
1,3,Matt Ryan,23.0,ATL,Boston Col.
1,18,Joe Flacco,23.0,BAL,Delaware
2,57,Chad Henne,23.0,MIA,Michigan
5,160,Josh Johnson,22.0,TAM,San Diego
7,209,Matt Flynn,23.0,GNB,LSU
1,1,Matthew Stafford,21.0,DET,Georgia
1,5,Mark Sanchez,22.0,NYJ,USC
1,17,Josh Freeman,21.0,TAM,Kansas St.
2,44,Pat White,23.0,MIA,West Virginia
6,201,Curtis Painter,24.0,IND,Purdue
1,1,Sam Bradford,22.0,STL,Oklahoma
1,25,Tim Tebow,23.0,DEN,Florida
2,48,Jimmy Clausen,22.0,CAR,Notre Dame
3,85,Colt McCoy,24.0,CLE,Texas
5,155,John Skelton,22.0,ARI,Fordham
1,1,Cam Newton,22.0,CAR,Auburn
1,8,Jake Locker,23.0,TEN,Washington
1,10,Blaine Gabbert,21.0,JAX,Missouri
1,12,Christian Ponder,23.0,MIN,Florida St.
2,35,Andy Dalton,23.0,CIN,TCU
2,36,Colin Kaepernick,23.0,SFO,Nevada
3,74,Ryan Mallett,23.0,NWE,Arkansas
5,152,T.J. Yates,24.0,HOU,North Carolina
6,180,Tyrod Taylor,22.0,BAL,Virginia Tech
1,1,Andrew Luck,22.0,IND,Stanford
1,2,Robert Griffin III,22.0,WAS,Baylor
1,8,Ryan Tannehill,24.0,MIA,Texas A&M
1,22,Brandon Weeden,28.0,CLE,Oklahoma St.
2,57,Brock Osweiler,21.0,DEN,Arizona St.
3,75,Russell Wilson,23.0,SEA,Wisconsin
3,88,Nick Foles,23.0,PHI,Arizona
